╔════════════════════════════════════════════════════════════════════╗
║         HOLONIC REALMS SDL2 GUI - SIMULATION VIEWER              ║
║   Real-time visualization of cosmological emergence                 ║
╚════════════════════════════════════════════════════════════════════╝

Initializing SDL2 subsystems...
Window created successfully
Initializing WGPU...
GPU adapter found: AdapterInfo { name: "NVIDIA GeForce RTX 2060 SUPER", vendor: 4318, device: 7942, device_type: DiscreteGpu, driver: "NVIDIA", driver_info: "590.48.01", backend: Vulkan }
WGPU initialized successfully
Surface format: Bgra8UnormSrgb
Surface size: 960x1080
Created 100 entities and 4 collective groups

════════════════════════════════════════════════════════════════════
STARTING SDL2 GUI
════════════════════════════════════════════════════════════════════

Controls:
  WASD/Arrows: Pan camera
  +/-: Zoom in/out
  1: Toggle Entity Visualization
  2: Toggle Spectrum Visualization
  3: Toggle Emergence Visualization
  4: Toggle Collective Visualization
  P: Toggle Performance Display
  F11: Toggle Fullscreen
  ESC: Exit
  Shift+C: Copy entity info to clipboard
  Shift+V: Paste from clipboard

Window focused
FPS: 3511.9 | Frame: 0.285ms | Event: 0.025ms | Render: 0.258ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3567.6 | Frame: 0.280ms | Event: 0.025ms | Render: 0.254ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3587.4 | Frame: 0.279ms | Event: 0.025ms | Render: 0.252ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3591.2 | Frame: 0.278ms | Event: 0.025ms | Render: 0.252ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3597.0 | Frame: 0.278ms | Event: 0.025ms | Render: 0.251ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3614.7 | Frame: 0.277ms | Event: 0.025ms | Render: 0.250ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3616.8 | Frame: 0.276ms | Event: 0.025ms | Render: 0.250ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3617.8 | Frame: 0.276ms | Event: 0.024ms | Render: 0.250ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3613.2 | Frame: 0.277ms | Event: 0.025ms | Render: 0.250ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3618.5 | Frame: 0.276ms | Event: 0.024ms | Render: 0.250ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3634.8 | Frame: 0.275ms | Event: 0.024ms | Render: 0.249ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3637.9 | Frame: 0.275ms | Event: 0.024ms | Render: 0.249ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3638.1 | Frame: 0.275ms | Event: 0.024ms | Render: 0.249ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3641.4 | Frame: 0.275ms | Event: 0.024ms | Render: 0.248ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3551.3 | Frame: 0.282ms | Event: 0.024ms | Render: 0.255ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3553.4 | Frame: 0.281ms | Event: 0.024ms | Render: 0.255ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3553.5 | Frame: 0.281ms | Event: 0.024ms | Render: 0.255ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3592.6 | Frame: 0.278ms | Event: 0.024ms | Render: 0.252ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3586.2 | Frame: 0.279ms | Event: 0.024ms | Render: 0.253ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3584.8 | Frame: 0.279ms | Event: 0.024ms | Render: 0.253ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3574.1 | Frame: 0.280ms | Event: 0.024ms | Render: 0.254ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3576.5 | Frame: 0.280ms | Event: 0.024ms | Render: 0.254ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3591.9 | Frame: 0.278ms | Event: 0.024ms | Render: 0.252ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3598.7 | Frame: 0.278ms | Event: 0.024ms | Render: 0.252ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3596.1 | Frame: 0.278ms | Event: 0.024ms | Render: 0.252ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3582.3 | Frame: 0.279ms | Event: 0.024ms | Render: 0.253ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3578.0 | Frame: 0.279ms | Event: 0.024ms | Render: 0.254ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3539.2 | Frame: 0.283ms | Event: 0.024ms | Render: 0.257ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3555.6 | Frame: 0.281ms | Event: 0.024ms | Render: 0.255ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3582.4 | Frame: 0.279ms | Event: 0.024ms | Render: 0.254ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3611.1 | Frame: 0.277ms | Event: 0.023ms | Render: 0.252ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3617.5 | Frame: 0.276ms | Event: 0.023ms | Render: 0.251ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3624.1 | Frame: 0.276ms | Event: 0.023ms | Render: 0.251ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3641.5 | Frame: 0.275ms | Event: 0.023ms | Render: 0.249ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3660.1 | Frame: 0.273ms | Event: 0.023ms | Render: 0.248ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3658.8 | Frame: 0.273ms | Event: 0.023ms | Render: 0.248ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3689.4 | Frame: 0.271ms | Event: 0.023ms | Render: 0.246ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3697.1 | Frame: 0.270ms | Event: 0.023ms | Render: 0.246ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3714.0 | Frame: 0.269ms | Event: 0.022ms | Render: 0.245ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3729.7 | Frame: 0.268ms | Event: 0.022ms | Render: 0.244ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3729.9 | Frame: 0.268ms | Event: 0.022ms | Render: 0.244ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3745.0 | Frame: 0.267ms | Event: 0.022ms | Render: 0.243ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3766.4 | Frame: 0.266ms | Event: 0.022ms | Render: 0.241ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3772.7 | Frame: 0.265ms | Event: 0.022ms | Render: 0.241ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3788.1 | Frame: 0.264ms | Event: 0.022ms | Render: 0.240ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3807.6 | Frame: 0.263ms | Event: 0.022ms | Render: 0.239ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3830.7 | Frame: 0.261ms | Event: 0.022ms | Render: 0.238ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
